Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Czech Republic,,,,,,,,,,,,1208000000,1264000000,1081000000,1819000000,1814000000,1446000000,1967000000,1830000000,2293000000,2399000000,2061000000,1670000000,1655000000,1298000000,1671000000,1876000000,2465000000,2099000000,1643000000,1161000000,1089000000,1402000000,1530000000,1781000000,2407000000,2261000000,2193000000,1983000000,2360000000,2277000000,2570000000,2990000000,1876000000,2741000000,3132000000,3520000000,3410000000,3731000000,4654000000,5903000000,7247000000,8154000000,,
Denmark,25000000,26000000,26000000,25000000,25000000,25000000,26000000,25000000,21000000,22000000,24000000,24000000,24000000,24000000,24000000,24000000,24000000,22000000,26000000,31000000,41000000,44000000,50000000,94000000,96000000,117000000,206000000,264000000,405000000,577000000,825000000,1057000000,1352000000,1607000000,1743000000,1851000000,2079000000,2929000000,3925000000,4379000000,5572000000,5846000000,6789000000,8078000000,9525000000,9812000000,9201000000,10305000000,10096000000,10063000000,12416000000,14164000000,14497000000,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,612000000,651000000,605000000,580000000,505000000,863000000,536000000,824000000,912000000,633000000,1442000000,922000000,1033000000,1286000000,1194000000,1436000000,1587000000,1678000000,499000000,374000000,532000000,559000000,1164000000,578000000,645000000,903000000,713000000,765000000,1136000000,800000000,734000000,910000000,1238000000,1670000000,1937000000,1778000000,1738000000,1413000000,1492000000,1464000000,1558000000,,,
Ecuador,,,,,,,,,,,,440000000,445000000,435000000,500000000,628000000,605000000,558000000,791000000,709000000,872000000,779000000,895000000,1721000000,3233000000,3279000000,4012000000,4570000000,4826000000,4954000000,4987000000,5075000000,4974000000,5810000000,6565000000,5161000000,6344000000,6534000000,6506000000,7177000000,7609000000,7071000000,7525000000,7181000000,7412000000,6933000000,7808000000,9987000000,11819000000,9667000000,9122000000,11699000000,,,
Egypt,,,,,,,,,,,,5041000000,5159000000,5156000000,6122000000,6790000000,8003000000,9037000000,9320000000,9510000000,9801000000,10215000000,10474000000,9817000000,9633000000,8663000000,9281000000,8658000000,9000000000,9974000000,9932000000,9900000000,9700000000,10485000000,10971000000,11413000000,11555000000,11987000000,12222000000,14683000000,13834000000,15351000000,13063000000,13387000000,13167000000,13196000000,13541000000,16341000000,15613000000,13996000000,14750000000,14892000000,,,
El Salvador,,,,,,,,,,,,522000000,442000000,492000000,562000000,452000000,728000000,932000000,1266000000,1510000000,1438000000,1343000000,1344000000,1474000000,1549000000,1593000000,1604000000,1569000000,1732000000,1866000000,2067000000,1693000000,1807000000,1898000000,1855000000,1914000000,2314000000,1915000000,2017000000,2365000000,1961000000,2130000000,2132000000,2533000000,2460000000,2809000000,3245000000,3266000000,3731000000,3261000000,3892000000,3828000000,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,2000000,2000000,2000000,2000000,2000000,,,
